Permission,Sentence,Similarities_Score
Amazon Pay,"when you make a donation, amazon pay will process the donation using your default amazon payment settings and will share your name, address, and email with the charity.",1
Amazon Pay,"however, the amazon pay a-to-z guarantee covers qualified purchases of physical products made through third-party alexa skills using amazon pay.",1
Amazon Pay,some other alexa skills allow you to purchase products and services from the developer of the skill using a payment method you provide directly to the developer.,1
Amazon Pay,"we will ask for standard credit card information when you make a financial donation, pay for a class, or make a purchase.",1
Amazon Pay,"transaction information : payment information such as your credit/debit card details, purchase history, delivery address and other information related to your transaction.",1
Amazon Pay,these payment processors will store certain information about you.,1
Amazon Pay,"payment information this is information relating to the methods by which you provide payment to us such as [bank account details, credit or debit card details] and details of any payments (including amounts and dates) that are made between us.are made between us.",1
Amazon Pay,your credit card number and other payment-related information may also be collected in connection to your donation.,1
Amazon Pay,"if there is a problem charging your selected payment method, we may charge any other valid payment method associated with your account.",1
Amazon Pay,"transaction information we collect transaction details related to your use of our services, including the type of services you requested or provided, your order details, delivery information, date and time the service was provided, amount charged, distance travelled, and payment method.",1
Amazon Pay,"as an example, if you are located in canada and your transaction is processed by a payment gateway located in the united states, then your personal information used in completing that transaction may be subject to disclosure under united states legislation, including the patriot act.",1
Amazon Pay,"however, certain third-party service providers, such as payment gateways and other payment transaction processors, have their own privacy policies in respect to the information we are required to provide to them for your purchase-related transactions.",1
Amazon Pay,"payment: if you choose a direct payment gateway to complete your purchase, then shopify stores your credit card data.",1
Amazon Pay,"tuition insurance quoting application â€“ studentâ€™s information (name, email address, address, college / university, on/off campus housing, class standing), parent / guardian / tuition payer (name, email address, mailing address, phone number, payment information), coverage information, discount eligibility information, and consumer reporting information.",1
Amazon Pay,you also agree to have your payment card billed for the total amount displayed at check out when you click â€˜check inâ€™ during your mobile order.,1
Amazon Pay,to place a mobile order you must provide valid payment card and billing information.,1
Amazon Pay,"in order to place a mobile order we require you to disclose your name, phone number, email address and payment information.",1
Amazon Pay,"the information we collect   as used in this privacy policy, ""personal information"" means any information that is linked to your identity such as your name, address, phone number (including mobile), birth day/month, demographic and geographic information, transaction information (including payment card and billing information),",1
Amazon Pay,"these may include payment processing, delivery of goods, search engine facilities, advertising and marketing.",1
Amazon Pay,"we may also collect payment card information, social security numbers, driverâ€™s license numbers (or comparable), gender, race, nationality, and biometric identifiers when you provide it directly to us while using our online services and where we believe it is reasonably required for ordinary business purposes.",1
Amazon Pay,"and, if you enroll in one of our online products, payment and billing information.",1
Amazon Pay,"although we will have access to the billing information, it will also be collected and processed by our third-party payment vendors pursuant to the terms and conditions of their privacy policies and terms of use.",1
Amazon Pay,"you will also need to provide your billing information (such as credit card number, cardholder name and expiration date) to make a payment.",1
Amazon Pay,"We collect billing data, which includes any payment data.",1
Amazon Pay,"the types of personal information we may collect directly from you include email addresses, postal addresses, phone numbers, employee names, usernames, information about the type of service required, marketing preferences, job titles, credit card payment information, transactional information (including services purchased), as well as any communications, inquiries, contact or other information you choose to provide during your use of the services.",1
