Skills,Developer,Permission,Traceability,Category,sub-category,Account Linking,customer reviews,Rating,Cost
Adrixus,by Adrixus,"['Full Name', 'Email Address', 'Mobile Number']",b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Alice,by Solinftec,['Email Address'],b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
AMERICAN LABOR SERVICES,by That's Easier,"['Email Address', 'Full Name']",b,Business & Finance,Business & Finance,Account linking required,No customer reviews,,Free to Enable
AppViewX Certificate Automation,by AppVIewx,"['Lists Read Access', 'Lists Write Access']",b,Business & Finance,Business & Finance,,,5.0 out of 5 stars,Free to Enable
Appviewx dashboard creation,by AppVIewx,"['Lists Read Access', 'Lists Write Access', 'Device Address']",b,Business & Finance,Business & Finance,,No customer reviews,1.0 out of 5 stars,Free to Enable
Athenia Insure,by Default User,"['Device Address', 'Full Name', 'Email Address', 'Mobile Number', 'Location Services']",b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Bajaj Allianz,by Yellow Messenger,['Device Address'],b,Business & Finance,Business & Finance,,No customer reviews,5.0 out of 5 stars,Free to Enable
cognito form RC1,by CognitoFormsDev Team,['Device Address'],b,Business & Finance,Business & Finance,,,3.9 out of 5 stars,
Connexus,by Connexus Credit Union,['Device Address'],b,Business & Finance,Business & Finance,,,3.7 out of 5 stars,
Crypto Price,by craig.langford,['Device Country and Postal Code'],b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
CryptoInfo,by Michael Dietrich,['Device Country and Postal Code'],b,Business & Finance,Business & Finance,Account linking required,,3.7 out of 5 stars,Free to Enable
East Idaho Credit Union,by East Idaho Credit Union,['Device Address'],b,Business & Finance,Business & Finance,,No customer reviews,5.0 out of 5 stars,Free to Enable
Engine eCommerce Analytics,by Engine eCommerce,['Device Country and Postal Code'],b,Business & Finance,Business & Finance,,,3.8 out of 5 stars,Free to Enable
EU Value Added Taxes,by Meeco Labs,['Device Country and Postcode'],b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Eversana Overview,by Eversana,['Device Country and Postal Code'],b,Business & Finance,Business & Finance,Account linking required,No customer reviews,,Free to Enable
First Citizens Home Buying Assistant,by A&G,"['Device Address', 'Lists Read Access', 'Lists Write Access']",b,Business & Finance,Business & Finance,Account linking required,No customer reviews,,Free to Enable
getJobs,by Jobsxchange,['Device Country and Postal Code'],b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
HaitiNet,by KioskBeacon,['Device Address'],b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
HDFC Ergo,by Yellow Messenger,"['Device Address', 'Lists Read Access', 'Lists Write Access']",b,Business & Finance,Business & Finance,,,5.0 out of 5 stars,Free to Enable
Home Federal Bank Voice Banking,by Home Federal Bank of Tennessee,['Device Country and Postal Code'],b,Business & Finance,Business & Finance,,No customer reviews,4.3 out of 5 stars,Free to Enable
IBKR IBot,by Interactive Brokers Group,"['Lists Read Access', 'Device Address', 'Lists Write Access']",b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
MesaNow,"by City of Mesa, Arizona","['Device Address', 'Reminders']",b,Business & Finance,Business & Finance,,,3.3 out of 5 stars,Free to Enable
Our Community Credit Union,by Our Community Credit Union,['Device Address'],b,Business & Finance,Business & Finance,,No customer reviews,5.0 out of 5 stars,Free to Enable
Portal de servicios compucloud,by Compucloud,['Full Name'],b,Business & Finance,Business & Finance,Account linking available,No customer reviews,,
Resource Directory,by Tindall Media,['Device Address'],b,Business & Finance,Business & Finance,,,3.0 out of 5 stars,Free to Enable
RIA Genie,by RIAGenie,"['Full Name', 'Email Address', 'Mobile Number', 'Reminders']",b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
RTN Voice Banking,by RTN Federal Credit Union,['Device Address'],b,Business & Finance,Business & Finance,,,3.8 out of 5 stars,Free to Enable
Seguros M˙ltiples,by DFX5,['Location Services'],b,Business & Finance,Business & Finance,,,2.1 out of 5 stars,Free to Enable
Seguros Múltiples,by DFX5,['Location Services'],b,Business & Finance,Business & Finance,,Account linking available,,5.0 out of 5 stars
Software Innovation Dialogue,by The Tech Company,['Device Address'],b,Business & Finance,Business & Finance,Account linking required,No customer reviews,5.0 out of 5 stars,Free to Enable
Southern Bank,by Southern Bank,['Device Country and Postal Code'],b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Sun Life,by Sun Life Financial,"['Device Address', 'Given Name', 'Email Address', 'Mobile Number', 'Location Services']",b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Thought Leaders,by Doug Devitre International Inc.,"['Full Name', 'Email Address', 'Mobile Number']",b,Business & Finance,Business & Finance,,No customer reviews,2.6 out of 5 stars,Free to Enable
Tin Can Skill builders,by Uttr Development,"['Full Name', 'Email Address']",b,Business & Finance,Business & Finance,,No customer reviews,4.7 out of 5 stars,Free to Enable
Unofficial Voice Marketing for Business,by Doug Devitre International Inc.,['Mobile Number'],b,Business & Finance,Business & Finance,,No customer reviews,,Free to Enable
Veras Flash Sales Report,by Arpit Gupta,['Email Address'],b,Business & Finance,Business & Finance,Account linking available,,2.4 out of 5 stars,Free to Enable
Workers Credit Union Assistant,by WCU,"['Device Country and Postal Code', 'Location Services']",b,Business & Finance,Business & Finance,,,4.3 out of 5 stars,Free to Enable
YAPI,by YAPI,['Device Address'],b,Business & Finance,Business & Finance,,No customer reviews,1.0 out of 5 stars,Free to Enable
East Ayrshire bin collection,by Chris Skaaning,['Device Address'],b,Calendars & Reminders,Calendars & Reminders,,,5.0 out of 5 stars,Free to Enable
Auto bot,by Prasanth Potturi,"['Location Services', 'Device Address']",b,Connected Car,Connected Car,,,5.0 out of 5 stars,Free to Enable
Charging Station Locator,by Rami Sleeman,"['Location Services', 'Mobile Number']",b,Connected Car,Connected Car,,No customer reviews,4.3 out of 5 stars,Free to Enable
Compare the car part,by Compare The Car Part,"['Full Name', 'Email Address']",b,Connected Car,Connected Car,,,No customer reviews,
GasBuddy,by GasBuddy,"['Device Address', 'Mobile Number', 'Location Services']",b,Connected Car,Connected Car,,No customer reviews,5.0 out of 5 stars,Free to Enable
Frigeria Below Zero,by LB,"['Lists Read Access', 'Lists Write Access']",b,Cooking & Recipes,Cooking & Recipes,Account linking required,No customer reviews,,Free to Enable
MuesliExplorer,by ThomasB,['Lists Write Access'],b,Cooking & Recipes,Cooking & Recipes,,No customer reviews,,Free to Enable
ArlingtonTx,by City of Arlington,['Device Address'],b,Education & Reference,Education & Reference,,,No customer reviews,
Blood Bank Directory (India),by Deepansh Sachdeva,['Device Country and Postal Code'],b,Education & Reference,Education & Reference,,,4.0 out of 5 stars,Free to Enable
Bug Browser,by Avi Shah,"['Lists Read Access', 'Lists Write Access']",b,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Busy body,by sandrum,['Device Country and Postal Code'],b,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
City of East Point,by CITY OF EAST POINT,"['Email Address', 'Mobile Number']",b,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Clay County,by Clay County,['Device Address'],b,Education & Reference,Education & Reference,,No customer reviews,5.0 out of 5 stars,Free to Enable
CoAbility Support,by Cath Ellis Learning Design,"['Email Address', 'Full Name']",b,Education & Reference,Education & Reference,,No customer reviews,5.0 out of 5 stars,Free to Enable
Conquering Diseases,by University of Massachusetts Medical School,"['Full Name', 'Email Address', 'Mobile Number']",b,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
houDB - the Houdini Database,by David Kahl,['Email Address'],b,Education & Reference,Education & Reference,,,3.7 out of 5 stars,Free to Enable
how-high-am-i-in-utah,by sj,['Device Address'],b,Education & Reference,Education & Reference,,,No customer reviews,
Interview Me,by Viresh Gupta,['Email Address'],b,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
My Air Quality,by lbrenman,['Device Country and Postal Code'],b,Education & Reference,Education & Reference,,,,3.4 out of 5 stars
myKwiz - A Quiz Hub to Take & Add Your Own Quiz,by Windsor Infosys,['Device Country and Postal Code'],b,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
NEET Practice,by CareVigil Technologies Pvt Ltd,['Device Country and Postal Code'],b,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
New Georgia Project,by Mobile App Hero,['Device Address'],b,Education & Reference,Education & Reference,,,No customer reviews,
One Albuquerque,"by APPCityLife, Inc.",['Email Address'],b,Education & Reference,Education & Reference,Account linking required,No customer reviews,,Free to Enable
Quotes Encyclopedia,by Ice Cream Communications,['Email Address'],b,Education & Reference,Education & Reference,,,No customer reviews,
Redemption.Earth,by ambiently,"['Lists Read Access', 'Lists Write Access']",b,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Shammu Academy,by WebRecycles Inc,['Device Country and Postal Code'],b,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Speak Up America,by Awemaze,['Device Address'],b,Education & Reference,Education & Reference,,,,5.0 out of 5 stars
Tech Trends by NPEDIA Technologies,by Npedia Technologies,['Device Address'],b,Education & Reference,Education & Reference,,No customer reviews,,Free to Enable
Tinker With Paper Circuit,by Banaao - A Makers' Playground,['Email Address'],b,Education & Reference,Education & Reference,Account linking required,No customer reviews,4.0 out of 5 stars,Free to Enable
USMLE Board Review,by OmniDigital,"['Alexa Notifications', 'Full Name']",b,Education & Reference,Education & Reference,,,,2.0 out of 5 stars
Wheel of Lunch,by MJR113,['Device Address'],b,Education & Reference,Education & Reference,,,No customer reviews,4.0 out of 5 stars
Reading Information,by MillieSoft,['Device Address'],b,Event Finders,Event Finders,,,4.1 out of 5 stars,Free to Enable
Blue Whale,by shakti singh,['Device Country and Postal Code'],b,Food & Drink,Cooking & Recipes,,,3.0 out of 5 stars,Free to Enable
Chuck Knows Beef,by Beef. It’s What’s For Dinner.,['Location Services'],b,Food & Drink,Cooking & Recipes,,,,4.1 out of 5 stars
Recetas Kiwilimón,by Kiwilimon,"['First Name', 'Device Country and Postal Code', 'Email Address']",b,Food & Drink,Cooking & Recipes,,,,5.0 out of 5 stars
Recetas KiwilimÛn,by Kiwilimon,"['First Name', 'Device Country and Postal Code', 'Email Address']",b,Food & Drink,Cooking & Recipes,Account linking available,,2.9 out of 5 stars,Free to Enable
Recipe finder,by Ido Grady,['Email Address'],b,Food & Drink,Cooking & Recipes,,No customer reviews,,Free to Enable
Ritz Recipes,by Mondelez Global LLC,"['Lists Read Access', 'Lists Write Access']",b,Food & Drink,Cooking & Recipes,,,No customer reviews,
Boloco,by Bensen,['Device Address'],b,Food & Drink,Delivery & Takeout,,No customer reviews,,Free to Enable
Butler AI,by ButlerAI,['Device Address'],b,Food & Drink,Delivery & Takeout,,,5.0 out of 5 stars,Free to Enable
Domino's,"by Domino's Pizza, LLC","['Alexa Notifications', 'Device Address', 'Full Name', 'Email Address', 'Mobile Number']",b,Food & Drink,Delivery & Takeout,,No customer reviews,,Free to Enable
Get fed on EatStreet,by boltApps,['Device Address'],b,Food & Drink,Delivery & Takeout,,No customer reviews,,Free to Enable
Joe Cristiano's Pizza,by RSVT,"['Full Name', 'Email Address', 'Amazon Pay']",b,Food & Drink,Delivery & Takeout,,No customer reviews,5.0 out of 5 stars,Free to Enable
My Lily,by Lily Labs,"['Full Name', 'Mobile Number', 'Email Address']",b,Food & Drink,Delivery & Takeout,Account linking required,No customer reviews,3.6 out of 5 stars,Free to Enable
Better Bites,by AlbaresApps,['Device Address'],b,Food & Drink,"Restaurant Booking, Info & Reviews",Account linking available,No customer reviews,3.1 out of 5 stars,Free to Enable
Coffee Bot,by Dark Bear Interactive,['Device Country and Postal Code'],b,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,2.0 out of 5 stars,Free to Enable
Cool Places,by Hakel,['Device Country and Postal Code'],b,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,,
EatMe,by KNN Creative,['Device Country and Postal Code'],b,Food & Drink,"Restaurant Booking, Info & Reviews",Account linking required,,3.0 out of 5 stars,Free to Enable
Find me Breakfast,by hermanj13,['Device Address'],b,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,5.0 out of 5 stars,Free to Enable
Food Finder,by logicstem,['Device Country and Postal Code'],b,Food & Drink,"Restaurant Booking, Info & Reviews",,,4.2 out of 5 stars,Free to Enable
Food Picker,by David Itenberg,['Device Address'],b,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,,Free to Enable
Restaurant Chooser,by Matthew Gunton Co,"['Location Services', 'Device Address']",b,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,,Free to Enable
Restaurant Explorer,by FreshDigitalGroup,['Device Country and Postal Code'],b,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,2.8 out of 5 stars,
SONIC,by VaynerMedia,['Device Country and Postal Code'],b,Food & Drink,"Restaurant Booking, Info & Reviews",,,3.2 out of 5 stars,Free to Enable
TableTalk-YourTable Is Waiting,by TableTalk LLC,['Device Address'],b,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,,Free to Enable
Taste,"by The Taste App, Inc.",['Device Address'],b,Food & Drink,"Restaurant Booking, Info & Reviews",Account linking required,No customer reviews,,Free to Enable
Within Radius,by Mehrdad,"['Device Address', 'Location Services']",b,Food & Drink,"Restaurant Booking, Info & Reviews",,No customer reviews,,Free to Enable
You Choose,by Matthew Gunton Co,['Device Address'],b,Food & Drink,"Restaurant Booking, Info & Reviews",,,5.0 out of 5 stars,Free to Enable
Bbot Bartender,by Bbot LLC,['Device Address'],b,Food & Drink,Wine & Beverages,,,2.5 out of 5 stars,Free to Enable
Coca-Cola - Coke Energy,by The Coca-Cola Company,"['Device Address', 'Full Name', 'Email Address', 'Mobile Number']",b,Food & Drink,Wine & Beverages,,No customer reviews,,Free to Enable
my-coffee-time,by chousmith.dev,['Device Country and Postal Code'],b,Food & Drink,Wine & Beverages,Account linking available,No customer reviews,,Free to Enable
Quick Maths,by Menocal Apps,['Device Address'],b,Games,Games,,,5.0 out of 5 stars,Free to Enable
Word Slice,by Seaside Voice Apps,['Full Name'],b,Games,Games,,No customer reviews,5.0 out of 5 stars,
